Human development index (HDI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDI Rank (2017),Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
168, Afghanistan,,,,,,,,,,,,,0.373,0.383,0.398,0.408,0.417,0.429,0.437,0.453,0.463,0.471,0.482,0.487,0.491,0.493,0.494,0.498
68, Albania,0.645,0.626,0.61,0.613,0.619,0.632,0.641,0.641,0.652,0.662,0.669,0.676,0.682,0.689,0.694,0.704,0.711,0.72,0.724,0.729,0.741,0.752,0.767,0.771,0.773,0.776,0.782,0.785
85, Algeria,0.577,0.581,0.587,0.591,0.595,0.6,0.608,0.617,0.627,0.636,0.644,0.653,0.664,0.674,0.684,0.692,0.698,0.707,0.709,0.719,0.729,0.736,0.74,0.745,0.747,0.749,0.753,0.754
35, Andorra,,,,,,,,,,,0.759,0.767,0.78,0.82,0.826,0.819,0.829,0.829,0.831,0.83,0.828,0.827,0.849,0.85,0.853,0.854,0.856,0.858
147, Angola,,,,,,,,,,0.374,0.387,0.401,0.418,0.429,0.442,0.455,0.471,0.492,0.502,0.522,0.52,0.535,0.543,0.554,0.564,0.572,0.577,0.581
70, Antigua and Barbuda,,,,,,,,,,,,,,,,0.766,0.772,0.778,0.777,0.77,0.766,0.762,0.765,0.768,0.77,0.775,0.778,0.78
47, Argentina,0.704,0.713,0.72,0.725,0.728,0.731,0.738,0.746,0.753,0.764,0.771,0.776,0.769,0.775,0.78,0.782,0.787,0.792,0.795,0.799,0.813,0.819,0.818,0.82,0.82,0.822,0.822,0.825
83, Armenia,0.631,0.628,0.58,0.588,0.599,0.605,0.612,0.623,0.636,0.642,0.647,0.652,0.663,0.672,0.68,0.693,0.706,0.72,0.727,0.724,0.728,0.731,0.737,0.742,0.745,0.748,0.749,0.755
3, Australia,0.866,0.867,0.868,0.872,0.875,0.883,0.886,0.889,0.892,0.895,0.898,0.9,0.903,0.904,0.907,0.908,0.911,0.915,0.92,0.921,0.923,0.925,0.929,0.931,0.933,0.936,0.938,0.939
20, Austria,0.795,0.8,0.805,0.807,0.813,0.817,0.82,0.824,0.835,0.834,0.838,0.849,0.838,0.842,0.849,0.855,0.861,0.881,0.884,0.886,0.895,0.897,0.899,0.897,0.901,0.903,0.906,0.908
80, Azerbaijan,,,,,,0.612,0.612,0.617,0.626,0.633,0.64,0.648,0.657,0.666,0.674,0.679,0.704,0.709,0.719,0.736,0.74,0.741,0.745,0.752,0.758,0.758,0.757,0.757
54, Bahamas,,,,,,,,,,,0.776,0.779,0.781,0.782,0.784,0.786,0.788,0.789,0.79,0.787,0.789,0.793,0.807,0.807,0.807,0.807,0.806,0.807
43, Bahrain,0.746,0.752,0.757,0.765,0.769,0.775,0.778,0.779,0.783,0.786,0.792,0.792,0.791,0.793,0.792,0.791,0.793,0.796,0.796,0.794,0.796,0.798,0.8,0.807,0.81,0.832,0.846,0.846
136, Bangladesh,0.387,0.394,0.402,0.409,0.417,0.425,0.433,0.442,0.451,0.46,0.468,0.477,0.483,0.49,0.497,0.505,0.513,0.52,0.523,0.535,0.545,0.557,0.567,0.575,0.583,0.592,0.597,0.608
58, Barbados,0.716,0.718,0.718,0.721,0.727,0.731,0.735,0.74,0.736,0.743,0.752,0.751,0.754,0.759,0.762,0.767,0.772,0.777,0.781,0.783,0.782,0.787,0.795,0.796,0.796,0.797,0.799,0.8
53, Belarus,,,,,,0.657,0.661,0.667,0.671,0.676,0.683,0.689,0.696,0.705,0.715,0.725,0.741,0.757,0.774,0.784,0.792,0.798,0.803,0.804,0.807,0.805,0.805,0.808
17, Belgium,0.806,0.81,0.825,0.839,0.845,0.852,0.857,0.862,0.866,0.868,0.873,0.876,0.879,0.882,0.885,0.889,0.896,0.899,0.899,0.899,0.903,0.904,0.905,0.908,0.909,0.913,0.915,0.916
106, Belize,0.644,0.651,0.657,0.661,0.661,0.662,0.662,0.664,0.666,0.67,0.677,0.679,0.685,0.692,0.696,0.693,0.7,0.699,0.7,0.699,0.699,0.702,0.706,0.705,0.706,0.709,0.709,0.708
163, Benin,0.348,0.354,0.358,0.365,0.368,0.373,0.377,0.381,0.385,0.391,0.398,0.41,0.419,0.426,0.434,0.44,0.447,0.455,0.462,0.468,0.473,0.479,0.489,0.5,0.505,0.508,0.512,0.515
