area,food_group,ssr_645,ssr_664
Afghanistan,Alcohol,0,0
Afghanistan,Dairy,151.9203637,90.95126537
Afghanistan,Fats & Oils,1.795519328,15.15188246
Afghanistan,Fruits,75.53885068,40.40456432
Afghanistan,Grains (Starchy staples),435.5503683,1341.085888
Afghanistan,"Legumes, Nuts & Seeds",13.77261659,48.80202224
Afghanistan,Meats,36.83849285,69.11439825
Afghanistan,Miscellaneous,,
Afghanistan,Spices,1.030535492,0.756363636
Afghanistan,Sugars,7.575077236,26.71314224
Afghanistan,Vegetables,89.21579963,18.9289103
Albania,Alcohol,75.06710595,51.60216998
Albania,Dairy,792.5552642,508.2422465
Albania,Fats & Oils,4.335720216,36.34090909
Albania,Fruits,456.4953762,206.0240024
Albania,Grains (Starchy staples),335.3124497,787.16298
Albania,"Legumes, Nuts & Seeds",85.41727451,142.013961
Albania,Meats,165.9774081,291.8593651
Albania,Miscellaneous,,
Albania,Spices,0,0
Albania,Sugars,30.09779818,48.42722513
Albania,Vegetables,511.4049142,124.9284906
Algeria,Alcohol,10.78236649,5.661367837
Algeria,Dairy,193.1062284,114.0001906
Algeria,Fats & Oils,6.903195737,60.593996
Algeria,Fruits,296.0778742,178.8188838
Algeria,Grains (Starchy staples),369.9147464,860.3787886
Algeria,"Legumes, Nuts & Seeds",22.57998106,62.59173693
Algeria,Meats,79.03225484,111.7419188
Algeria,Miscellaneous,,
Algeria,Spices,0.907031964,1.266666667
Algeria,Sugars,0.301556009,1.025077208
Algeria,Vegetables,326.1368749,91.10251382
Angola,Alcohol,164.1108756,85.15501362
Angola,Dairy,23.12439977,13.7398521
Angola,Fats & Oils,8.727561398,76.34647256
Angola,Fruits,228.3999678,115.3827714
Angola,Grains (Starchy staples),940.7249825,1384.967135
Angola,"Legumes, Nuts & Seeds",32.4845177,119.4434587
Angola,Meats,69.06268911,101.4865388
Angola,Miscellaneous,,
Angola,Spices,4.547664208,5.056410256
Angola,Sugars,27.29858537,89.88470268
Angola,Vegetables,171.2799049,34.38679886
Antigua and Barbuda,Alcohol,0,0
Antigua and Barbuda,Dairy,148.2623963,98.61971831
Antigua and Barbuda,Fats & Oils,0,0
Antigua and Barbuda,Fruits,230.0513305,78.98850575
Antigua and Barbuda,Grains (Starchy staples),0,0
Antigua and Barbuda,"Legumes, Nuts & Seeds",0,0
Antigua and Barbuda,Meats,74.80212732,89.6
Antigua and Barbuda,Miscellaneous,,
Antigua and Barbuda,Spices,0,0
Antigua and Barbuda,Sugars,0,0
Antigua and Barbuda,Vegetables,43.63835615,13.00588235
Argentina,Alcohol,210.1941234,114.8622844
Argentina,Dairy,685.5802032,325.7560134
Argentina,Fats & Oils,149.9417295,1287.284124
Argentina,Fruits,346.2714693,119.1953577
Argentina,Grains (Starchy staples),1266.269728,3195.106909
Argentina,"Legumes, Nuts & Seeds",4.863074079,12.4008389
Argentina,Meats,425.4857258,795.7516847
Argentina,Miscellaneous,,
Argentina,Spices,22.45714441,14.59774983
Argentina,Sugars,134.4234894,478.8532346
Argentina,Vegetables,160.5695691,47.77817339
Armenia,Alcohol,45.34263699,43.84375
Armenia,Dairy,514.3861645,312.8764045
Armenia,Fats & Oils,3.526188558,29.29411765
Armenia,Fruits,499.5094795,162.5373886
Armenia,Grains (Starchy staples),365.7825646,840.9655905
Armenia,"Legumes, Nuts & Seeds",3.327332029,8.838095238
Armenia,Meats,111.6445673,189.0563798
Armenia,Miscellaneous,,
Armenia,Spices,0,0
Armenia,Sugars,35.29007721,120.0149933
Armenia,Vegetables,635.5475791,140.7172619
Australia,Alcohol,333.2524076,150.2613513
Australia,Dairy,977.4685086,499.2300719
Australia,Fats & Oils,108.747947,898.7880505
Australia,Fruits,279.7296863,104.4980488
Australia,Grains (Starchy staples),1071.304819,2212.638482
