"Group","Area","M664","Reference","Type","G1","G2","G3","G4","category"
"Alcohol","Afghanistan",0,0,"B",122,73,29,0,"5"
"Alcohol","Africa",45,0,"B",122,73,29,0,"3"
"Alcohol","Albania",72,0,"B",122,73,29,0,"3"
"Alcohol","Algeria",7,0,"B",122,73,29,0,"4"
"Alcohol","Americas",106,0,"B",122,73,29,0,"2"
"Alcohol","Angola",116,0,"B",122,73,29,0,"2"
"Alcohol","Antigua and Barbuda",84,0,"B",122,73,29,0,"2"
"Alcohol","Argentina",106,0,"B",122,73,29,0,"2"
"Alcohol","Armenia",13,0,"B",122,73,29,0,"4"
"Alcohol","Asia",47,0,"B",122,73,29,0,"3"
"Alcohol","Australia",136,0,"B",122,73,29,0,"1"
"Alcohol","Australia & New Zealand",132,0,"B",122,73,29,0,"1"
"Alcohol","Austria",244,0,"B",122,73,29,0,"1"
"Alcohol","Azerbaijan",154,0,"B",122,73,29,0,"1"
"Alcohol","Bahamas",106,0,"B",122,73,29,0,"2"
"Alcohol","Bangladesh",0,0,"B",122,73,29,0,"5"
"Alcohol","Barbados",86,0,"B",122,73,29,0,"2"
"Alcohol","Belarus",215,0,"B",122,73,29,0,"1"
"Alcohol","Belgium",171,0,"B",122,73,29,0,"1"
"Alcohol","Belgium-Luxembourg",0,0,"B",122,73,29,0,"5"
"Alcohol","Belize",90,0,"B",122,73,29,0,"2"
"Alcohol","Benin",16,0,"B",122,73,29,0,"4"
"Alcohol","Bermuda",78,0,"B",122,73,29,0,"2"
"Alcohol","Bolivia (Plurinational State of)",41,0,"B",122,73,29,0,"3"
"Alcohol","Bosnia and Herzegovina",234,0,"B",122,73,29,0,"1"
"Alcohol","Botswana",82,0,"B",122,73,29,0,"2"
"Alcohol","Brazil",98,0,"B",122,73,29,0,"2"
"Alcohol","Brunei Darussalam",10,0,"B",122,73,29,0,"4"
"Alcohol","Bulgaria",191,0,"B",122,73,29,0,"1"
"Alcohol","Burkina Faso",180,0,"B",122,73,29,0,"1"
"Alcohol","Cabo Verde",60,0,"B",122,73,29,0,"3"
"Alcohol","Cambodia",54,0,"B",122,73,29,0,"3"
"Alcohol","Cameroon",88,0,"B",122,73,29,0,"2"
"Alcohol","Canada",104,0,"B",122,73,29,0,"2"
"Alcohol","Caribbean",73,0,"B",122,73,29,0,"1"
"Alcohol","Central African Republic",20,0,"B",122,73,29,0,"4"
"Alcohol","Central America",54,0,"B",122,73,29,0,"3"
"Alcohol","Central Asia",47,0,"B",122,73,29,0,"3"
"Alcohol","Chad",6,0,"B",122,73,29,0,"4"
"Alcohol","Chile",95,0,"B",122,73,29,0,"2"
"Alcohol","China",96,0,"B",122,73,29,0,"2"
"Alcohol","China, Hong Kong SAR",50,0,"B",122,73,29,0,"3"
"Alcohol","China, Macao SAR",102,0,"B",122,73,29,0,"2"
"Alcohol","China, mainland",96,0,"B",122,73,29,0,"2"
"Alcohol","China, Taiwan Province of",81,0,"B",122,73,29,0,"2"
"Alcohol","Colombia",60,0,"B",122,73,29,0,"3"
"Alcohol","Congo",53,0,"B",122,73,29,0,"3"
"Alcohol","Costa Rica",82,0,"B",122,73,29,0,"2"
"Alcohol","Côte d'Ivoire",52,0,"B",122,73,29,0,"3"
"Alcohol","Croatia",159,0,"B",122,73,29,0,"1"
"Alcohol","Cuba",65,0,"B",122,73,29,0,"3"
"Alcohol","Cyprus",95,0,"B",122,73,29,0,"2"
"Alcohol","Czechia",254,0,"B",122,73,29,0,"1"
"Alcohol","Czechoslovakia",0,0,"B",122,73,29,0,"5"
"Alcohol","Democratic People's Republic of Korea",54,0,"B",122,73,29,0,"3"
"Alcohol","Denmark",164,0,"B",122,73,29,0,"1"
